YEAR,MONTH,ENSO,IOD
1901,1,-1.1457,0.1086
1901,2,-1.181,-0.0846
1901,3,-1.6629,-0.0375
1901,4,-1.5955,-0.0384
1901,5,-1.3905,-0.2721
1901,6,-1.4445,-0.1422
1901,7,-1.3634,-0.178
1901,8,-1.4279,-0.0864
1901,9,-1.0821,0.1182
1901,10,-0.9864,-0.0821
1901,11,-0.9578,-0.1123
1901,12,-0.6404,-0.4489
1902,1,-0.5601,-0.2871
1902,2,-0.5612,-0.462
1902,3,-0.1637,-0.5102
1902,4,-0.1376,-0.3546
1902,5,0.3711,-0.3753
1902,6,0.4685,-0.0355
1902,7,0.6838,-0.0665
1902,8,0.8391,-0.0203
1902,9,1.3437,-0.0393
1902,10,1.3409,-0.0365
1902,11,1.4838,0.1173
1902,12,1.6551,0.1896
1903,1,1.9197,0.3665
1903,2,1.9956,0.4539
1903,3,2.0698,0.5817
1903,4,2.104,0.5054
1903,5,2.355,0.6262
1903,6,1.9299,0.1737
1903,7,1.834,0.2462
1903,8,1.6729,0.1461
1903,9,1.7376,-0.0682
1903,10,1.6337,0.2071
1903,11,1.2385,0.1672
1903,12,0.8972,0.2078
1904,1,0.6479,0.124
1904,2,0.6032,0.0382
1904,3,0.3423,-0.0618
1904,4,0.034,-0.1071
1904,5,-0.4235,-0.0731
1904,6,-0.5576,-0.1546
1904,7,-0.8309,-0.1777
1904,8,-1.0539,0.0333
1904,9,-1.172,0.0737
1904,10,-1.4591,0.0137
1904,11,-1.5511,-0.0896
1904,12,-1.7708,-0.3208
1905,1,-1.8315,-0.5104
1905,2,-1.8386,-0.5796
1905,3,-2.1746,-0.6265
1905,4,-1.9913,-0.3817
1905,5,-1.967,-0.2692
1905,6,-1.9129,-0.1653
1905,7,-1.7491,-0.277
1905,8,-1.3474,-0.1038
1905,9,-1.542,0.0897
1905,10,-1.088,-0.0432
1905,11,-1.2914,0.0906
1905,12,-0.884,0.0578
1906,1,-0.5977,0.4294
1906,2,-0.3203,0.4431
1906,3,-0.0897,0.5639
1906,4,0.1286,0.725
1906,5,0.1537,0.5691
1906,6,0.3204,0.2746
1906,7,0.6868,0.0979
1906,8,0.6803,0.0106
1906,9,0.6492,0.0408
1906,10,0.7819,0.0203
1906,11,0.9044,0.0559
1906,12,1.1865,0.2474
1907,1,1.1825,0.1126
1907,2,1.2944,0.2395
1907,3,1.1382,-0.0378
1907,4,1.221,0.0045
1907,5,1.2711,-0.1566
1907,6,1.0982,-0.092
1907,7,1.1697,-0.1627
1907,8,0.9498,-0.1009
1907,9,0.9359,0.0368
1907,10,0.8695,0.0404
1907,11,0.6806,-0.146
1907,12,0.8646,-0.4021
1908,1,0.6521,-0.5449
1908,2,0.6556,-0.6244
1908,3,0.6578,-0.637
1908,4,0.5856,-0.3919
1908,5,0.5524,-0.1726
1908,6,0.3724,-0.1311
1908,7,0.2584,-0.2214
1908,8,0.2441,-0.0192
1908,9,-0.0642,-0.013
1908,10,-0.0976,0.1776
1908,11,-0.1513,-0.0548
1908,12,-0.1787,0.1378
1909,1,-0.0497,0.4508
1909,2,-0.3308,0.4906
1909,3,-0.3419,0.5857
1909,4,-0.1851,0.5481
1909,5,-0.5326,0.4742
1909,6,-0.4711,0.3614
1909,7,-0.8265,0.0806
1909,8,-0.8228,0.1069
1909,9,-1.039,-0.1098
1909,10,-1.0486,0.055
1909,11,-0.9674,0.1018
1909,12,-1.4402,0.0808
1910,1,-1.1931,0.1199
1910,2,-1.2865,0.0057
1910,3,-1.4593,-0.1308
1910,4,-1.617,-0.1666
1910,5,-1.3989,-0.2735
1910,6,-1.4765,-0.1433
1910,7,-1.326,-0.1968
1910,8,-1.2967,0.0243
1910,9,-0.9737,-0.0945
1910,10,-1.1389,-0.084
